biome,species_constant,species_name,national_dex,types
City,SPECIES_BINACLE,Binacle,NATIONAL_DEX_BINACLE,ROCK/WATER
City,SPECIES_BISHARP,Bisharp,NATIONAL_DEX_BISHARP,DARK/STEEL
City,SPECIES_BLASTOISE,Blastoise,NATIONAL_DEX_BLASTOISE,WATER
City,SPECIES_BLAZIKEN,Blaziken,NATIONAL_DEX_BLAZIKEN,FIRE/FIGHTING
City,SPECIES_BLIPBUG,Blipbug,NATIONAL_DEX_BLIPBUG,BUG
City,SPECIES_BLISSEY,Blissey,NATIONAL_DEX_BLISSEY,NORMAL
City,SPECIES_BLITZLE,Blitzle,NATIONAL_DEX_BLITZLE,ELECTRIC
City,SPECIES_BOLTUND,Boltund,NATIONAL_DEX_BOLTUND,ELECTRIC
City,SPECIES_BOMBIRDIER,Bombirdier,NATIONAL_DEX_BOMBIRDIER,FLYING/DARK
City,SPECIES_BOUFFALANT,Bouffalant,NATIONAL_DEX_BOUFFALANT,NORMAL
City,SPECIES_BRAMBLEGHAST,Brambleghast,NATIONAL_DEX_BRAMBLEGHAST,GRASS/GHOST
City,SPECIES_BRAMBLIN,Bramblin,NATIONAL_DEX_BRAMBLIN,GRASS/GHOST
City,SPECIES_BRAVIARY,Braviary,NATIONAL_DEX_BRAVIARY,NORMAL/FLYING
City,SPECIES_BRELOOM,Breloom,NATIONAL_DEX_BRELOOM,GRASS/FIGHTING
City,SPECIES_BRIONNE,Brionne,NATIONAL_DEX_BRIONNE,WATER
City,SPECIES_BRONZONG,Bronzong,NATIONAL_DEX_BRONZONG,STEEL/PSYCHIC
City,SPECIES_BRONZOR,Bronzor,NATIONAL_DEX_BRONZOR,STEEL/PSYCHIC
City,SPECIES_BRUXISH,Bruxish,NATIONAL_DEX_BRUXISH,WATER/PSYCHIC
City,SPECIES_BUDEW,Budew,NATIONAL_DEX_BUDEW,GRASS/POISON
City,SPECIES_BUIZEL,Buizel,NATIONAL_DEX_BUIZEL,WATER
City,SPECIES_BULBASAUR,Bulbasaur,NATIONAL_DEX_BULBASAUR,GRASS/POISON
City,SPECIES_BUNEARY,Buneary,NATIONAL_DEX_BUNEARY,NORMAL
City,SPECIES_BUNNELBY,Bunnelby,NATIONAL_DEX_BUNNELBY,NORMAL
City,SPECIES_BURMY_PLANT,Burmy,NATIONAL_DEX_BURMY,BUG
City,SPECIES_BUTTERFREE,Butterfree,NATIONAL_DEX_BUTTERFREE,BUG/FLYING
City,SPECIES_CACTURNE,Cacturne,NATIONAL_DEX_CACTURNE,GRASS/DARK
City,SPECIES_CARBINK,Carbink,NATIONAL_DEX_CARBINK,ROCK/FAIRY
City,SPECIES_CARRACOSTA,Carracosta,NATIONAL_DEX_CARRACOSTA,WATER/ROCK
City,SPECIES_CARVANHA,Carvanha,NATIONAL_DEX_CARVANHA,WATER/DARK
City,SPECIES_CASCOON,Cascoon,NATIONAL_DEX_CASCOON,BUG
City,SPECIES_CASTFORM_NORMAL,Castform,NATIONAL_DEX_CASTFORM,NORMAL
City,SPECIES_CATERPIE,Caterpie,NATIONAL_DEX_CATERPIE,BUG
City,SPECIES_CENTISKORCH,Centiskorch,NATIONAL_DEX_CENTISKORCH,FIRE/BUG
City,SPECIES_CERULEDGE,Ceruledge,NATIONAL_DEX_CERULEDGE,FIRE/GHOST
City,SPECIES_CHANDELURE,Chandelure,NATIONAL_DEX_CHANDELURE,GHOST/FIRE
City,SPECIES_CHANSEY,Chansey,NATIONAL_DEX_CHANSEY,NORMAL
City,SPECIES_CHARIZARD,Charizard,NATIONAL_DEX_CHARIZARD,FIRE/FLYING
City,SPECIES_CHARJABUG,Charjabug,NATIONAL_DEX_CHARJABUG,BUG/ELECTRIC
City,SPECIES_CHATOT,Chatot,NATIONAL_DEX_CHATOT,NORMAL/FLYING
City,SPECIES_CHESNAUGHT,Chesnaught,NATIONAL_DEX_CHESNAUGHT,GRASS/FIGHTING
City,SPECIES_CHEWTLE,Chewtle,NATIONAL_DEX_CHEWTLE,WATER
City,SPECIES_CHIMECHO,Chimecho,NATIONAL_DEX_CHIMECHO,PSYCHIC
City,SPECIES_CHINCHOU,Chinchou,NATIONAL_DEX_CHINCHOU,WATER/ELECTRIC
City,SPECIES_CHINGLING,Chingling,NATIONAL_DEX_CHINGLING,PSYCHIC
City,SPECIES_CINCCINO,Cinccino,NATIONAL_DEX_CINCCINO,NORMAL
City,SPECIES_CLAMPERL,Clamperl,NATIONAL_DEX_CLAMPERL,WATER
City,SPECIES_CLAUNCHER,Clauncher,NATIONAL_DEX_CLAUNCHER,WATER
City,SPECIES_CLAWITZER,Clawitzer,NATIONAL_DEX_CLAWITZER,WATER
City,SPECIES_CLAYDOL,Claydol,NATIONAL_DEX_CLAYDOL,GROUND/PSYCHIC
City,SPECIES_CLEFABLE_MEGA,Clefable,NATIONAL_DEX_CLEFABLE,FAIRY/FLYING
City,SPECIES_CLEFAIRY,Clefairy,NATIONAL_DEX_CLEFAIRY,FAIRY
City,SPECIES_CLEFFA,Cleffa,NATIONAL_DEX_CLEFFA,FAIRY
City,SPECIES_CLOBBOPUS,Clobbopus,NATIONAL_DEX_CLOBBOPUS,FIGHTING
City,SPECIES_CLODSIRE,Clodsire,NATIONAL_DEX_CLODSIRE,POISON/GROUND
City,SPECIES_CLOYSTER,Cloyster,NATIONAL_DEX_CLOYSTER,WATER/ICE
City,SPECIES_COFAGRIGUS,Cofagrigus,NATIONAL_DEX_COFAGRIGUS,GHOST
City,SPECIES_COMBEE,Combee,NATIONAL_DEX_COMBEE,BUG/FLYING
City,SPECIES_COMBUSKEN,Combusken,NATIONAL_DEX_COMBUSKEN,FIRE/FIGHTING
City,SPECIES_COMFEY,Comfey,NATIONAL_DEX_COMFEY,FAIRY
City,SPECIES_CONKELDURR,Conkeldurr,NATIONAL_DEX_CONKELDURR,FIGHTING
City,SPECIES_COPPERAJAH,Copperajah,NATIONAL_DEX_COPPERAJAH,STEEL
City,SPECIES_CORPHISH,Corphish,NATIONAL_DEX_CORPHISH,WATER
City,SPECIES_CORSOLA,Corsola,NATIONAL_DEX_CORSOLA,WATER/ROCK
City,SPECIES_CORVIKNIGHT,Corviknight,NATIONAL_DEX_CORVIKNIGHT,FLYING/STEEL
City,SPECIES_CORVISQUIRE,Corvisquire,NATIONAL_DEX_CORVISQUIRE,FLYING
City,SPECIES_CRABOMINABLE,Crabominable,NATIONAL_DEX_CRABOMINABLE,FIGHTING/ICE
City,SPECIES_CRABRAWLER,Crabrawler,NATIONAL_DEX_CRABRAWLER,FIGHTING
City,SPECIES_CRAMORANT,Cramorant,NATIONAL_DEX_CRAMORANT,FLYING/WATER
City,SPECIES_CRAWDAUNT,Crawdaunt,NATIONAL_DEX_CRAWDAUNT,WATER/DARK
City,SPECIES_CROAGUNK,Croagunk,NATIONAL_DEX_CROAGUNK,POISON/FIGHTING
City,SPECIES_CROBAT,Crobat,NATIONAL_DEX_CROBAT,POISON/FLYING
City,SPECIES_CROCONAW,Croconaw,NATIONAL_DEX_CROCONAW,WATER
City,SPECIES_CRUSTLE,Crustle,NATIONAL_DEX_CRUSTLE,BUG/ROCK
City,SPECIES_CUFANT,Cufant,NATIONAL_DEX_CUFANT,STEEL
City,SPECIES_CURSOLA,Cursola,NATIONAL_DEX_CURSOLA,GHOST
City,SPECIES_CUTIEFLY,Cutiefly,NATIONAL_DEX_CUTIEFLY,BUG/FAIRY
City,SPECIES_CYCLIZAR,Cyclizar,NATIONAL_DEX_CYCLIZAR,DRAGON/NORMAL
City,SPECIES_DACHSBUN,Dachsbun,NATIONAL_DEX_DACHSBUN,FAIRY
City,SPECIES_DARTRIX,Dartrix,NATIONAL_DEX_DARTRIX,GRASS/FLYING
City,SPECIES_DECIDUEYE,Decidueye,NATIONAL_DEX_DECIDUEYE,GRASS/GHOST
City,SPECIES_DEDENNE,Dedenne,NATIONAL_DEX_DEDENNE,ELECTRIC/FAIRY
City,SPECIES_DEERLING_SPRING,Deerling,NATIONAL_DEX_DEERLING,NORMAL/GRASS
City,SPECIES_DEINO,Deino,NATIONAL_DEX_DEINO,DARK/DRAGON
City,SPECIES_DELCATTY,Delcatty,NATIONAL_DEX_DELCATTY,NORMAL
City,SPECIES_DELIBIRD,Delibird,NATIONAL_DEX_DELIBIRD,ICE/FLYING
City,SPECIES_DELPHOX,Delphox,NATIONAL_DEX_DELPHOX,FIRE/PSYCHIC
City,SPECIES_DEWGONG,Dewgong,NATIONAL_DEX_DEWGONG,WATER/ICE
City,SPECIES_DEWOTT,Dewott,NATIONAL_DEX_DEWOTT,WATER
City,SPECIES_DEWPIDER,Dewpider,NATIONAL_DEX_DEWPIDER,WATER/BUG
City,SPECIES_DHELMISE,Dhelmise,NATIONAL_DEX_DHELMISE,GHOST/GRASS
City,SPECIES_DIGGERSBY,Diggersby,NATIONAL_DEX_DIGGERSBY,NORMAL/GROUND
City,SPECIES_DITTO,Ditto,NATIONAL_DEX_DITTO,NORMAL
City,SPECIES_DODRIO,Dodrio,NATIONAL_DEX_DODRIO,NORMAL/FLYING
City,SPECIES_DODUO,Doduo,NATIONAL_DEX_DODUO,NORMAL/FLYING
City,SPECIES_DOLLIV,Dolliv,NATIONAL_DEX_DOLLIV,GRASS/NORMAL
City,SPECIES_DONDOZO,Dondozo,NATIONAL_DEX_DONDOZO,WATER
City,SPECIES_DOTTLER,Dottler,NATIONAL_DEX_DOTTLER,BUG/PSYCHIC
City,SPECIES_DOUBLADE,Doublade,NATIONAL_DEX_DOUBLADE,STEEL/GHOST
City,SPECIES_DRACOVISH,Dracovish,NATIONAL_DEX_DRACOVISH,WATER/DRAGON
City,SPECIES_DRACOZOLT,Dracozolt,NATIONAL_DEX_DRACOZOLT,ELECTRIC/DRAGON
City,SPECIES_DRAGALGE,Dragalge,NATIONAL_DEX_DRAGALGE,POISON/DRAGON
City,SPECIES_DRAGAPULT,Dragapult,NATIONAL_DEX_DRAGAPULT,DRAGON/GHOST
City,SPECIES_DRAGONITE,Dragonite,NATIONAL_DEX_DRAGONITE,DRAGON/FLYING
City,SPECIES_DRAKLOAK,Drakloak,NATIONAL_DEX_DRAKLOAK,DRAGON/GHOST
City,SPECIES_DRAMPA,Drampa,NATIONAL_DEX_DRAMPA,NORMAL/DRAGON
City,SPECIES_DRAPION,Drapion,NATIONAL_DEX_DRAPION,POISON/DARK
City,SPECIES_DREDNAW,Drednaw,NATIONAL_DEX_DREDNAW,WATER/ROCK
City,SPECIES_DREEPY,Dreepy,NATIONAL_DEX_DREEPY,DRAGON/GHOST
City,SPECIES_DRIFBLIM,Drifblim,NATIONAL_DEX_DRIFBLIM,GHOST/FLYING
City,SPECIES_DRIFLOON,Drifloon,NATIONAL_DEX_DRIFLOON,GHOST/FLYING
City,SPECIES_DRIZZILE,Drizzile,NATIONAL_DEX_DRIZZILE,WATER
City,SPECIES_DROWZEE,Drowzee,NATIONAL_DEX_DROWZEE,PSYCHIC
City,SPECIES_DUBWOOL,Dubwool,NATIONAL_DEX_DUBWOOL,NORMAL
City,SPECIES_DUCKLETT,Ducklett,NATIONAL_DEX_DUCKLETT,WATER/FLYING
City,SPECIES_DUDUNSPARCE_TWO_SEGMENT,Dudunsparce,NATIONAL_DEX_DUDUNSPARCE,NORMAL
City,SPECIES_DUNSPARCE,Dunsparce,NATIONAL_DEX_DUNSPARCE,NORMAL
City,SPECIES_DUOSION,Duosion,NATIONAL_DEX_DUOSION,PSYCHIC
City,SPECIES_DURALUDON,Duraludon,NATIONAL_DEX_DURALUDON,STEEL/DRAGON
City,SPECIES_DURANT,Durant,NATIONAL_DEX_DURANT,BUG/STEEL
City,SPECIES_DUSCLOPS,Dusclops,NATIONAL_DEX_DUSCLOPS,GHOST
City,SPECIES_DUSKNOIR,Dusknoir,NATIONAL_DEX_DUSKNOIR,GHOST
City,SPECIES_DUSKULL,Duskull,NATIONAL_DEX_DUSKULL,GHOST
City,SPECIES_DUSTOX,Dustox,NATIONAL_DEX_DUSTOX,BUG/POISON
City,SPECIES_DWEBBLE,Dwebble,NATIONAL_DEX_DWEBBLE,BUG/ROCK
City,SPECIES_EELEKTRIK,Eelektrik,NATIONAL_DEX_EELEKTRIK,ELECTRIC
City,SPECIES_EELEKTROSS,Eelektross,NATIONAL_DEX_EELEKTROSS,ELECTRIC
City,SPECIES_EEVEE,Eevee,NATIONAL_DEX_EEVEE,NORMAL
City,SPECIES_EKANS,Ekans,NATIONAL_DEX_EKANS,POISON
City,SPECIES_ELECTABUZZ,Electabuzz,NATIONAL_DEX_ELECTABUZZ,ELECTRIC
City,SPECIES_ELECTIVIRE,Electivire,NATIONAL_DEX_ELECTIVIRE,ELECTRIC
City,SPECIES_ELECTRIKE,Electrike,NATIONAL_DEX_ELECTRIKE,ELECTRIC
City,SPECIES_ELECTRODE,Electrode,NATIONAL_DEX_ELECTRODE,ELECTRIC
City,SPECIES_ELEKID,Elekid,NATIONAL_DEX_ELEKID,ELECTRIC
City,SPECIES_ELGYEM,Elgyem,NATIONAL_DEX_ELGYEM,PSYCHIC
City,SPECIES_EMBOAR,Emboar,NATIONAL_DEX_EMBOAR,FIRE/FIGHTING
City,SPECIES_EMOLGA,Emolga,NATIONAL_DEX_EMOLGA,ELECTRIC/FLYING
City,SPECIES_EMPOLEON,Empoleon,NATIONAL_DEX_EMPOLEON,WATER/STEEL
City,SPECIES_ENAMORUS_INCARNATE,Enamorus,NATIONAL_DEX_ENAMORUS,FAIRY/FLYING
City,SPECIES_ESCAVALIER,Escavalier,NATIONAL_DEX_ESCAVALIER,BUG/STEEL
City,SPECIES_ESPATHRA,Espathra,NATIONAL_DEX_ESPATHRA,PSYCHIC
City,SPECIES_ESPEON,Espeon,NATIONAL_DEX_ESPEON,PSYCHIC
City,SPECIES_ESPURR,Espurr,NATIONAL_DEX_ESPURR,PSYCHIC
City,SPECIES_EXCADRILL,Excadrill,NATIONAL_DEX_EXCADRILL,GROUND/STEEL
City,SPECIES_EXEGGCUTE,Exeggcute,NATIONAL_DEX_EXEGGCUTE,GRASS/PSYCHIC
City,SPECIES_EXEGGUTOR,Exeggutor,NATIONAL_DEX_EXEGGUTOR,GRASS/PSYCHIC
City,SPECIES_EXPLOUD,Exploud,NATIONAL_DEX_EXPLOUD,NORMAL
City,SPECIES_FALINKS,Falinks,NATIONAL_DEX_FALINKS,FIGHTING
City,SPECIES_FARFETCHD,Farfetch'd,NATIONAL_DEX_FARFETCHD,NORMAL/FLYING
City,SPECIES_FARIGIRAF,Farigiraf,NATIONAL_DEX_FARIGIRAF,NORMAL/PSYCHIC
City,SPECIES_FEAROW,Fearow,NATIONAL_DEX_FEAROW,NORMAL/FLYING
City,SPECIES_FEEBAS,Feebas,NATIONAL_DEX_FEEBAS,WATER
City,SPECIES_FERALIGATR,Feraligatr,NATIONAL_DEX_FERALIGATR,WATER
City,SPECIES_FERROSEED,Ferroseed,NATIONAL_DEX_FERROSEED,GRASS/STEEL
City,SPECIES_FERROTHORN,Ferrothorn,NATIONAL_DEX_FERROTHORN,GRASS/STEEL
City,SPECIES_FEZANDIPITI,Fezandipiti,NATIONAL_DEX_FEZANDIPITI,POISON/FAIRY
City,SPECIES_FIDOUGH,Fidough,NATIONAL_DEX_FIDOUGH,FAIRY
City,SPECIES_FINIZEN,Finizen,NATIONAL_DEX_FINIZEN,WATER
City,SPECIES_FINNEON,Finneon,NATIONAL_DEX_FINNEON,WATER
City,SPECIES_FLAAFFY,Flaaffy,NATIONAL_DEX_FLAAFFY,ELECTRIC
City,SPECIES_FLABEBE,Flabébé,NATIONAL_DEX_FLABEBE,FAIRY
City,SPECIES_FLAMIGO,Flamigo,NATIONAL_DEX_FLAMIGO,FLYING/FIGHTING
City,SPECIES_FLETCHINDER,Fletchinder,NATIONAL_DEX_FLETCHINDER,FIRE/FLYING
City,SPECIES_FLETCHLING,Fletchling,NATIONAL_DEX_FLETCHLING,NORMAL/FLYING
City,SPECIES_FLITTLE,Flittle,NATIONAL_DEX_FLITTLE,PSYCHIC
City,SPECIES_FLOATZEL,Floatzel,NATIONAL_DEX_FLOATZEL,WATER
City,SPECIES_FLOETTE_MEGA,Floette,NATIONAL_DEX_FLOETTE,FAIRY
City,SPECIES_FLORGES,Florges,NATIONAL_DEX_FLORGES,FAIRY
City,SPECIES_FOONGUS,Foongus,NATIONAL_DEX_FOONGUS,GRASS/POISON
City,SPECIES_FORRETRESS,Forretress,NATIONAL_DEX_FORRETRESS,BUG/STEEL
City,SPECIES_FRILLISH,Frillish,NATIONAL_DEX_FRILLISH,WATER/GHOST
City,SPECIES_FROAKIE,Froakie,NATIONAL_DEX_FROAKIE,WATER
City,SPECIES_FROGADIER,Frogadier,NATIONAL_DEX_FROGADIER,WATER
City,SPECIES_FROSLASS,Froslass,NATIONAL_DEX_FROSLASS,ICE/GHOST
City,SPECIES_FROSMOTH,Frosmoth,NATIONAL_DEX_FROSMOTH,ICE/BUG
City,SPECIES_FURFROU,Furfrou,NATIONAL_DEX_FURFROU,NORMAL
City,SPECIES_FURRET,Furret,NATIONAL_DEX_FURRET,NORMAL
City,SPECIES_GALLADE,Gallade,NATIONAL_DEX_GALLADE,PSYCHIC/FIGHTING
City,SPECIES_GALVANTULA,Galvantula,NATIONAL_DEX_GALVANTULA,BUG/ELECTRIC
City,SPECIES_GARBODOR,Garbodor,NATIONAL_DEX_GARBODOR,POISON
City,SPECIES_GARDEVOIR,Gardevoir,NATIONAL_DEX_GARDEVOIR,PSYCHIC
City,SPECIES_GASTLY,Gastly,NATIONAL_DEX_GASTLY,GHOST/POISON
City,SPECIES_GASTRODON_WEST,Gastrodon,NATIONAL_DEX_GASTRODON,WATER/GROUND
City,SPECIES_GENGAR,Gengar,NATIONAL_DEX_GENGAR,GHOST/POISON
City,SPECIES_GHOLDENGO,Gholdengo,NATIONAL_DEX_GHOLDENGO,STEEL/GHOST
City,SPECIES_GIMMIGHOUL_CHEST,Gimmighoul,NATIONAL_DEX_GIMMIGHOUL,GHOST
City,SPECIES_GIRAFARIG,Girafarig,NATIONAL_DEX_GIRAFARIG,NORMAL/PSYCHIC
City,SPECIES_GIRATINA_ALTERED,Giratina,NATIONAL_DEX_GIRATINA,GHOST/DRAGON
City,SPECIES_GLAMEOW,Glameow,NATIONAL_DEX_GLAMEOW,NORMAL
City,SPECIES_GLIGAR,Gligar,NATIONAL_DEX_GLIGAR,GROUND/FLYING
City,SPECIES_GLIMMET,Glimmet,NATIONAL_DEX_GLIMMET,ROCK/POISON
City,SPECIES_GLIMMORA,Glimmora,NATIONAL_DEX_GLIMMORA,ROCK/POISON
City,SPECIES_GLISCOR,Gliscor,NATIONAL_DEX_GLISCOR,GROUND/FLYING
City,SPECIES_GLOOM,Gloom,NATIONAL_DEX_GLOOM,GRASS/POISON
City,SPECIES_GOLBAT,Golbat,NATIONAL_DEX_GOLBAT,POISON/FLYING
City,SPECIES_GOLDEEN,Goldeen,NATIONAL_DEX_GOLDEEN,WATER
City,SPECIES_GOLDUCK,Golduck,NATIONAL_DEX_GOLDUCK,WATER
City,SPECIES_GOLETT,Golett,NATIONAL_DEX_GOLETT,GROUND/GHOST
City,SPECIES_GOLISOPOD,Golisopod,NATIONAL_DEX_GOLISOPOD,BUG/WATER
City,SPECIES_GOLURK,Golurk,NATIONAL_DEX_GOLURK,GROUND/GHOST
City,SPECIES_GOREBYSS,Gorebyss,NATIONAL_DEX_GOREBYSS,WATER
City,SPECIES_GOTHITA,Gothita,NATIONAL_DEX_GOTHITA,PSYCHIC
City,SPECIES_GOTHITELLE,Gothitelle,NATIONAL_DEX_GOTHITELLE,PSYCHIC
City,SPECIES_GOTHORITA,Gothorita,NATIONAL_DEX_GOTHORITA,PSYCHIC
City,SPECIES_GOURGEIST_AVERAGE,Gourgeist,NATIONAL_DEX_GOURGEIST,GHOST/GRASS
City,SPECIES_GRAFAIAI,Grafaiai,NATIONAL_DEX_GRAFAIAI,POISON/NORMAL
City,SPECIES_GRANBULL,Granbull,NATIONAL_DEX_GRANBULL,FAIRY
City,SPECIES_GRAPPLOCT,Grapploct,NATIONAL_DEX_GRAPPLOCT,FIGHTING
City,SPECIES_GREAVARD,Greavard,NATIONAL_DEX_GREAVARD,GHOST
City,SPECIES_GREEDENT,Greedent,NATIONAL_DEX_GREEDENT,NORMAL
City,SPECIES_GRENINJA,Greninja,NATIONAL_DEX_GRENINJA,WATER/DARK
City,SPECIES_GRIMER,Grimer,NATIONAL_DEX_GRIMER,POISON
City,SPECIES_GRIMMSNARL,Grimmsnarl,NATIONAL_DEX_GRIMMSNARL,DARK/FAIRY
City,SPECIES_GRUBBIN,Grubbin,NATIONAL_DEX_GRUBBIN,BUG
City,SPECIES_GRUMPIG,Grumpig,NATIONAL_DEX_GRUMPIG,PSYCHIC
City,SPECIES_GULPIN,Gulpin,NATIONAL_DEX_GULPIN,POISON
City,SPECIES_GUMSHOOS,Gumshoos,NATIONAL_DEX_GUMSHOOS,NORMAL
City,SPECIES_GURDURR,Gurdurr,NATIONAL_DEX_GURDURR,FIGHTING
City,SPECIES_GYARADOS,Gyarados,NATIONAL_DEX_GYARADOS,WATER/FLYING
City,SPECIES_HAKAMO_O,Hakamo-o,NATIONAL_DEX_HAKAMO_O,DRAGON/FIGHTING
City,SPECIES_HAPPINY,Happiny,NATIONAL_DEX_HAPPINY,NORMAL
City,SPECIES_HARIYAMA,Hariyama,NATIONAL_DEX_HARIYAMA,FIGHTING
City,SPECIES_HATENNA,Hatenna,NATIONAL_DEX_HATENNA,PSYCHIC
City,SPECIES_HATTERENE,Hatterene,NATIONAL_DEX_HATTERENE,PSYCHIC/FAIRY
City,SPECIES_HATTREM,Hattrem,NATIONAL_DEX_HATTREM,PSYCHIC
City,SPECIES_HAUNTER,Haunter,NATIONAL_DEX_HAUNTER,GHOST/POISON
City,SPECIES_HAWLUCHA,Hawlucha,NATIONAL_DEX_HAWLUCHA,FIGHTING/FLYING
City,SPECIES_HELIOLISK,Heliolisk,NATIONAL_DEX_HELIOLISK,ELECTRIC/NORMAL
City,SPECIES_HELIOPTILE,Helioptile,NATIONAL_DEX_HELIOPTILE,ELECTRIC/NORMAL
City,SPECIES_HERACROSS,Heracross,NATIONAL_DEX_HERACROSS,BUG/FIGHTING
City,SPECIES_HERDIER,Herdier,NATIONAL_DEX_HERDIER,NORMAL
City,SPECIES_HITMONCHAN,Hitmonchan,NATIONAL_DEX_HITMONCHAN,FIGHTING
City,SPECIES_HITMONLEE,Hitmonlee,NATIONAL_DEX_HITMONLEE,FIGHTING
City,SPECIES_HITMONTOP,Hitmontop,NATIONAL_DEX_HITMONTOP,FIGHTING
City,SPECIES_HONCHKROW,Honchkrow,NATIONAL_DEX_HONCHKROW,DARK/FLYING
City,SPECIES_HONEDGE,Honedge,NATIONAL_DEX_HONEDGE,STEEL/GHOST
